Member State,Product desc,country_3,Timestamp,Price,cluster_cows,cluster_costs,cluster_all
Hungary,Raw Milk,HUN,2008,32.174166666666665,1,0,0
Hungary,Butter,HUN,2008,457.3449083333333,1,0,0
France,SMP,FRA,2008,221.422225,0,2,1
Belgium,Butter,BEL,2008,285.3475,0,2,1
Poland,Gouda,POL,2008,326.2525416666667,2,2,2
Ireland,Butter Oil,IRL,2008,307.70666666666665,0,2,1
Netherlands,Edam,NLD,2008,288.75,0,1,1
Estonia,Raw Milk,EST,2008,29.685,1,1,0
Ireland,WMP,IRL,2008,234.33183333333332,0,2,1
Latvia,Butter,LVA,2008,319.80466666666666,1,1,0
Belgium,Cheddar,BEL,2008,338.14625,0,2,1
Czechia,WMP,CZE,2008,301.6524,1,2,0
Estonia,Edam,EST,2008,403.65845833333333,1,1,0
Slovenia,Edam,SVN,2008,452.32916666666665,2,2,2
Netherlands,Butter,NLD,2008,262.21666666666664,0,1,1
Czechia,SMP,CZE,2008,232.62658333333334,1,2,0
Italy,Butter,ITA,2008,288.25,0,1,1
Denmark,WMP,DNK,2008,269.2160416666666,0,1,1
Belgium,Gouda,BEL,2008,340.6666666666667,0,2,1
Italy,Raw Milk,ITA,2008,37.385,0,1,1
Denmark,SMP,DNK,2008,264.295125,0,1,1
Sweden,WMP,SWE,2008,314.533425,2,1,2
Portugal,Raw Milk,PRT,2008,36.324999999999996,2,1,2
Spain,Emmental,ESP,2008,818.6895416666666,0,1,2
Spain,Raw Milk,ESP,2008,37.93833333333333,0,1,2
Denmark,Raw Milk,DNK,2008,37.17,0,1,1
Netherlands,Raw Milk,NLD,2008,35.92166666666667,0,1,1
Slovenia,Gouda,SVN,2008,564.4559166666667,2,2,2
Ireland,Cheddar,IRL,2008,328.9715,0,2,1
Netherlands,Gouda,NLD,2008,345.65000000000003,0,1,1
Finland,Raw Milk,FIN,2008,43.60333333333333,2,0,2
Ireland,Raw Milk,IRL,2008,35.70272727272727,0,2,1
Luxembourg,Raw Milk,LUX,2008,37.64666666666667,0,2,1
Latvia,Edam,LVA,2008,402.15450000000004,1,1,0
Czechia,Raw Milk,CZE,2008,32.9375,1,2,0
Belgium,Butter Oil,BEL,2008,370.1666666666667,0,2,1
Finland,Edam,FIN,2008,488.3933333333334,2,0,2
Belgium,SMP,BEL,2008,225.78750000000002,0,2,1
Slovenia,Emmental,SVN,2008,619.3518333333333,2,2,2
Finland,Butter,FIN,2008,300.26383333333337,2,0,2
Ireland,SMP,IRL,2008,209.2745,0,2,1
Finland,Emmental,FIN,2008,443.771,2,0,2
Bulgaria,Raw Milk,BGR,2008,31.423000000000002,1,0,0
Sweden,Raw Milk,SWE,2008,35.964166666666664,2,1,2
Germany,WMP,DEU,2008,266.07708333333335,0,2,1
Spain,Edam,ESP,2008,676.439875,0,1,2
Latvia,WMP,LVA,2008,323.18083333333334,1,1,0
Netherlands,Whey Powder,NLD,2008,44.47083333333333,0,1,1
Germany,Gouda,DEU,2008,323.05,0,2,1
Germany,Edam,DEU,2008,314.4791666666667,0,2,1
Poland,Raw Milk,POL,2008,30.31833333333333,2,2,2
Poland,WMP,POL,2008,262.4699583333333,2,2,2
Germany,Emmental,DEU,2008,538.0541666666667,0,2,1
Czechia,Butter,CZE,2008,273.653875,1,2,0
Poland,Butter,POL,2008,255.48837500000002,2,2,2
Germany,SMP,DEU,2008,228.36666666666667,0,2,1
Lithuania,Gouda,LTU,2008,352.069,1,2,0
Poland,Edam,POL,2008,326.561125,2,2,2
Poland,SMP,POL,2008,213.23216666666667,2,2,2
France,Whey Powder,FRA,2008,43.617358333333335,0,2,1
France,WMP,FRA,2008,273.36110833333333,0,2,1
Austria,Gouda,AUT,2008,416.36110833333333,2,2,2
Germany,Butter,DEU,2008,272.1429166666667,0,2,1
Germany,Raw Milk,DEU,2008,33.50833333333333,0,2,1
Latvia,SMP,LVA,2008,321.2189583333333,1,1,0
Netherlands,Whey Powder,NLD,2009,48.281949999999995,0,1,1
Finland,Raw Milk,FIN,2009,39.00666666666667,2,0,2
Poland,Raw Milk,POL,2009,22.189166666666665,2,2,2
Ireland,WMP,IRL,2009,198.9740833333333,0,2,1
Ireland,Butter,IRL,2009,227.00075,0,2,1
Belgium,Butter Oil,BEL,2009,340.14027500000003,0,2,1
Latvia,Butter,LVA,2009,251.16495833333332,1,1,0
Belgium,Cheddar,BEL,2009,248.467225,0,2,1
Spain,Butter,ESP,2009,217.890725,0,1,2
Poland,Edam,POL,2009,253.618875,2,2,2
Czechia,WMP,CZE,2009,204.499375,1,2,0
Spain,Edam,ESP,2009,679.1540416666667,0,1,2
Netherlands,Raw Milk,NLD,2009,26.77416666666667,0,1,1
France,Butter,FRA,2009,241.10833333333335,0,2,1
Slovenia,Edam,SVN,2009,427.26075,2,2,2
Estonia,Raw Milk,EST,2009,21.055,1,1,0
Slovenia,Gouda,SVN,2009,500.71299999999997,2,2,2
Ireland,Butter Oil,IRL,2009,276.25279166666667,0,2,1
Poland,SMP,POL,2009,161.65566666666666,2,2,2
Ireland,SMP,IRL,2009,170.43529166666667,0,2,1
Romania,Raw Milk,ROU,2009,20.099090909090908,1,0,0
Latvia,SMP,LVA,2009,230.72916666666666,1,1,0
Portugal,Raw Milk,PRT,2009,29.025000000000002,2,1,2
Netherlands,Edam,NLD,2009,226.0666666666667,0,1,1
Sweden,WMP,SWE,2009,229.59994166666664,2,1,2
Lithuania,Raw Milk,LTU,2009,18.236666666666668,1,2,0
Belgium,SMP,BEL,2009,182.71666666666667,0,2,1
Spain,Emmental,ESP,2009,831.6887499999999,0,1,2
Finland,Whey Powder,FIN,2009,40.0,2,0,2
Czechia,Emmental,CZE,2009,469.59591666666665,1,2,0
Belgium,WMP,BEL,2009,221.89180833333333,0,2,1
Luxembourg,Raw Milk,LUX,2009,26.8175,0,2,1
Sweden,Raw Milk,SWE,2009,26.17,2,1,2
Spain,Raw Milk,ESP,2009,29.1825,0,1,2
Germany,Butter,DEU,2009,234.43345833333333,0,2,1
Netherlands,SMP,NLD,2009,175.74860833333332,0,1,1
Germany,Raw Milk,DEU,2009,23.715833333333332,0,2,1
Germany,SMP,DEU,2009,177.975,0,2,1
Denmark,Raw Milk,DNK,2009,27.528333333333332,0,1,1
Hungary,SMP,HUN,2009,340.7395285714286,1,0,0
Finland,Edam,FIN,2009,461.6788833333333,2,0,2
Portugal,Butter,PRT,2009,230.45979166666666,2,1,2
Poland,WMP,POL,2009,189.09133333333332,2,2,2
Netherlands,WMP,NLD,2009,203.3125,0,1,1
Slovenia,Emmental,SVN,2009,597.6947916666667,2,2,2
Denmark,WMP,DNK,2009,204.461125,0,1,1
Czechia,Butter,CZE,2009,239.30224166666667,1,2,0
France,SMP,FRA,2009,179.45416666666665,0,2,1
Ireland,Raw Milk,IRL,2009,24.73,0,2,1
Germany,Whey Powder,DEU,2009,46.63125,0,2,1
Czechia,Whey Powder,CZE,2009,47.62,1,2,0
Lithuania,Gouda,LTU,2009,264.366625,1,2,0
Belgium,Gouda,BEL,2009,335.0,0,2,1
Austria,Gouda,AUT,2009,341.8541666666667,2,2,2
Slovenia,Raw Milk,SVN,2009,25.897499999999997,2,2,2
Latvia,Raw Milk,LVA,2009,18.655,1,1,0
Denmark,SMP,DNK,2009,187.00316666666666,0,1,1
Italy,Raw Milk,ITA,2009,30.56833333333333,0,1,1
Poland,Whey Powder,POL,2009,41.27554166666667,2,2,2
France,WMP,FRA,2009,212.4625,0,2,1
Netherlands,Gouda,NLD,2009,278.18333333333334,0,1,1
Bulgaria,Raw Milk,BGR,2009,25.365,1,0,0
Poland,Gouda,POL,2009,244.77283333333332,2,2,2
Latvia,Edam,LVA,2009,286.38466666666665,1,1,0
Italy,Butter,ITA,2009,247.28703333333337,0,1,1
Austria,Raw Milk,AUT,2009,28.986666666666665,2,2,2
Czechia,Edam,CZE,2009,322.337,1,2,0
Estonia,Edam,EST,2009,344.22150000000005,1,1,0
Finland,Butter,FIN,2009,236.14494166666668,2,0,2
Latvia,WMP,LVA,2009,207.87566666666666,1,1,0
Belgium,Butter,BEL,2009,256.60860833333334,0,2,1
Czechia,Raw Milk,CZE,2009,22.63,1,2,0
France,Emmental,FRA,2009,448.55,0,2,1
Netherlands,Butter,NLD,2009,247.827775,0,1,1
Finland,Emmental,FIN,2009,359.2507666666667,2,0,2
France,Raw Milk,FRA,2009,29.8475,0,2,1
Poland,Butter,POL,2009,242.70708333333334,2,2,2
Germany,Gouda,DEU,2009,242.16333333333333,0,2,1
Czechia,SMP,CZE,2009,164.640875,1,2,0
Germany,WMP,DEU,2009,202.86666666666667,0,2,1
Germany,Edam,DEU,2009,241.09008333333335,0,2,1
Hungary,Butter,HUN,2009,421.26651666666663,1,0,0
Ireland,Cheddar,IRL,2009,233.2925,0,2,1
Germany,Emmental,DEU,2009,476.825,0,2,1
Denmark,Butter,DNK,2009,285.2257916666667,0,1,1
France,Whey Powder,FRA,2009,48.46041666666667,0,2,1
Hungary,Raw Milk,HUN,2009,21.473333333333333,1,0,0
Belgium,Raw Milk,BEL,2009,23.67,0,2,1
Finland,Emmental,FIN,2010,355.0946,2,0,2
Germany,Edam,DEU,2010,279.43175,0,2,1
Finland,Edam,FIN,2010,422.4014,2,0,2
Belgium,SMP,BEL,2010,221.0275,0,2,1
Latvia,SMP,LVA,2010,227.87287500000002,1,1,0
Ireland,Raw Milk,IRL,2010,30.828333333333333,0,2,1
Poland,Butter,POL,2010,320.531625,2,2,2
Czechia,Raw Milk,CZE,2010,28.281666666666666,1,2,0
Belgium,Butter Oil,BEL,2010,404.77,0,2,1
Austria,Gouda,AUT,2010,308.69,2,2,2
Poland,SMP,POL,2010,209.64729166666666,2,2,2
